Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
10/03/2021,16100.0,-13399.99999999999,2604.1500000000096,36.55,59.3,-,-,0.0,-33930.01525499771,86561.60152000003,50027.43626500222,2604.1500000000096,52631.58626500223
11/03/2021,23700.00000000001,-8534.497499999925,15006.412500000082,60.35,98.74,FX - Sell USD,5.6009,-102700.0,-18923.602754997624,-16138.398479999974,-50068.41373499777,-87693.58749999992,-35062.00123499769
12/03/2021,1349.99999999999,-414.9999999999987,922.6499999999913,4.25,8.100000000000001,FX - Buy USD,5.563,89879.56139,-18000.952754997634,73741.16291000003,54817.56015500231,90802.21139,55740.21015500231
15/03/2021,774.9999999999981,0.0,774.9999999999981,0.0,0.0,-,-,0.0,-17225.952754997637,73741.16291000003,55740.21015500231,774.9999999999981,56515.21015500231
16/03/2021,-225.00000000000298,1212.4999999999773,976.9999999999744,4.25,6.25,-,-,0.0,-16248.952754997663,73741.16291000003,56515.21015500231,976.9999999999744,57492.21015500228
17/03/2021,-2549.999999999975,7062.5,4502.0000000000255,4.25,6.25,-,-,0.0,-11746.952754997637,73741.16291000003,57492.21015500228,4502.0000000000255,61994.21015500231
18/03/2021,-475.0000000000032,-200.0,-677.1000000000033,0.85,1.25,-,-,0.0,-12424.052754997641,73741.16291000003,61994.21015500231,-677.1000000000033,61317.1101550023
19/03/2021,-1634.999999999984,1707.5000150000733,45.20001500008947,11.05,16.25,-,-,0.0,-12378.852739997552,73741.16291000003,61317.1101550023,45.20001500008947,61362.31017000239
22/03/2021,21639.999999999876,-2625.0,18985.599999999868,11.9,17.5,-,-,0.0,6606.747260002316,73741.16291000003,61362.31017000239,18985.599999999868,80347.91017000226
23/03/2021,-225.00000000000298,70.00000000000061,-157.47000000000241,0.85,1.62,-,-,0.0,6449.277260002314,73741.16291000003,80347.91017000226,-157.47000000000241,80190.44017000226
24/03/2021,1380.0000000000034,764.999999999918,2126.0999999999217,7.649999999999999,11.25,-,-,0.0,8575.377260002235,73741.16291000003,80190.44017000226,2126.0999999999217,82316.54017000218
25/03/2021,-7944.999999999921,14037.501499999828,6069.401499999904,9.35,13.75,-,-,0.0,14644.77876000214,73741.16291000003,82316.54017000218,6069.401499999904,88385.94167000208
26/03/2021,7325.000000000001,-4975.0,2345.800000000001,1.7,2.5,-,-,0.0,16990.578760002143,73741.16291000003,88385.94167000208,2345.800000000001,90731.74167000208
29/03/2021,439.999999999996,-614.9999999999864,-181.29999999999038,2.55,3.75,-,-,0.0,16809.27876000215,73741.16291000003,90731.74167000208,-181.29999999999038,90550.4416700021
30/03/2021,-2000.000000000039,-137.49879999998723,-2167.758800000026,11.05,19.21,-,-,0.0,14641.519960002126,73741.16291000003,90550.4416700021,-2167.758800000026,88382.68287000207
31/03/2021,669.9992000000489,-414.9999999999636,229.7992000000852,10.2,15.0,-,-,0.0,14871.319160002211,73741.16291000003,88382.68287000207,229.7992000000852,88612.48207000215
01/04/2021,22069.998799999976,-9950.000000000044,12098.998799999932,8.5,12.5,Exposure Fee,-,-4.76,26970.317960002143,73736.40291000003,88607.72207000216,12094.238799999932,100706.72087000209
02/04/2021,260.0016000000038,0.0,260.0016000000038,0.0,0.0,-,-,0.0,27230.319560002146,73736.40291000003,100706.72087000209,260.0016000000038,100966.72247000209
05/04/2021,-720.0004185302756,-18900.00002499919,-19737.600443529464,47.6,70.0,-,-,0.0,7492.719116472683,73736.40291000003,100966.72247000209,-19737.600443529464,81229.12202647263
06/04/2021,-900.0003337860107,-6954.999988079527,-7895.270321865537,16.15,24.12,-,-,0.0,-402.5512053928542,73736.40291000003,81229.12202647263,-7895.270321865537,73333.85170460709
07/04/2021,4124.997711181627,-125.0,3998.272711181627,0.375,1.35,Exposure Fee,-,-9.6,3595.721505788773,73726.80291000003,73324.25170460709,3988.672711181627,77322.52441578872
08/04/2021,10825.004577636731,0.0,10825.004577636731,0.0,0.0,Exposure Fee,-,-10.5,14420.726083425505,73716.30291000003,77312.0244157887,10814.504577636731,88137.02899342545
09/04/2021,20787.49567270279,-3694.999208450317,17062.356464252473,11.9,18.24,Exposure Fee,-,-10.15,31483.08254767798,73706.15291000003,88126.87899342543,17052.20646425247,105189.23545767792
12/04/2021,483.7511658668601,470.0000000000046,941.5261658668646,4.625,7.6,-,-,0.0,32424.608713544843,73706.15291000003,105189.2354576779,941.5261658668646,106130.76162354478
13/04/2021,-3469.999134540558,2325.0,-1161.7991345405578,6.8,10.0,-,-,0.0,31262.809579004286,73706.15291000003,106130.76162354476,-1161.7991345405578,104968.96248900422
14/04/2021,-2197.5019812584005,3287.500000000045,1062.6980187416448,11.05,16.25,-,-,0.0,32325.50759774593,73706.15291000003,104968.9624890042,1062.6980187416448,106031.66050774587
