Date,MtoM P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
03/03/2021,-29930.000000000055,11960.498799999641,18.02,93.98,FX - Sell USD,5.7033,-70000.0,-66869.2793549964,117086.60152000003,38256.823365003904,50217.32216500354
04/03/2021,-27170.000599999945,21789.979399999807,38.7,192.57,-,-,0.0,-45079.29995499659,117086.60152000003,50217.32216500354,72007.30156500335
05/03/2021,60.004200000059775,7474.533699999858,13.79,76.71000000000002,FX - Sell USD,5.6643,-30000.0,-37604.766254996735,87086.60152000003,42007.30156500335,49481.8352650032
08/03/2021,0.0,0.0,0.0,0.0,TT Fee,-,-500.0,-37604.766254996735,86586.60152000003,48981.8352650032,48981.8352650032
08/03/2021,0.0,0.0,0.0,0.0,Wire Fee,-,-25.0,-37604.766254996735,86561.60152000003,48956.8352650032,48956.8352650032
09/03/2021,0.0,1070.6009999990197,11.9,17.5,-,-,0.0,-36534.165254997715,86561.60152000003,48956.8352650032,50027.43626500222
10/03/2021,16100.0,2604.1500000000096,36.55,59.3,-,-,0.0,-33930.01525499771,86561.60152000003,50027.43626500222,52631.58626500223
11/03/2021,23700.00000000001,15006.412500000082,60.35,98.74,FX - Sell USD,5.6009,-102700.0,-18923.602754997624,-16138.398479999974,-50068.41373499777,-35062.00123499769
12/03/2021,1349.99999999999,922.6499999999913,4.25,8.100000000000001,FX - Buy USD,5.563,89879.56139,-18000.952754997634,73741.16291000003,54817.56015500231,55740.21015500231
15/03/2021,774.9999999999981,774.9999999999981,0.0,0.0,-,-,0.0,-17225.952754997637,73741.16291000003,55740.21015500231,56515.21015500231
16/03/2021,-225.00000000000298,976.9999999999744,4.25,6.25,-,-,0.0,-16248.952754997663,73741.16291000003,56515.21015500231,57492.21015500228
17/03/2021,-2549.999999999975,4502.0000000000255,4.25,6.25,-,-,0.0,-11746.952754997637,73741.16291000003,57492.21015500228,61994.21015500231
18/03/2021,-475.0000000000032,-677.1000000000033,0.85,1.25,-,-,0.0,-12424.052754997641,73741.16291000003,61994.21015500231,61317.1101550023
19/03/2021,-1634.999999999984,45.20001500008947,11.05,16.25,-,-,0.0,-12378.852739997552,73741.16291000003,61317.1101550023,61362.31017000239
22/03/2021,21639.999999999876,18985.599999999868,11.9,17.5,-,-,0.0,6606.747260002316,73741.16291000003,61362.31017000239,80347.91017000226
23/03/2021,-225.00000000000298,-157.47000000000241,0.85,1.62,-,-,0.0,6449.277260002314,73741.16291000003,80347.91017000226,80190.44017000226
24/03/2021,1380.0000000000034,2126.0999999999217,7.649999999999999,11.25,-,-,0.0,8575.377260002235,73741.16291000003,80190.44017000226,82316.54017000218
25/03/2021,-7944.999999999921,6069.4015000001555,9.35,13.75,-,-,0.0,14644.778760002391,73741.16291000003,82316.54017000218,88385.94167000233
26/03/2021,7325.000000000001,2345.800000000001,1.7,2.5,-,-,0.0,16990.57876000239,73741.16291000003,88385.94167000233,90731.74167000233
29/03/2021,439.999999999996,-181.29999999999038,2.55,3.75,-,-,0.0,16809.2787600024,73741.16291000003,90731.74167000233,90550.44167000234
30/03/2021,-2000.000000000039,-2167.758800000026,11.05,19.21,-,-,0.0,14641.519960002373,73741.16291000003,90550.44167000234,88382.68287000232
31/03/2021,669.9992000000489,229.7992000000852,10.2,15.0,-,-,0.0,14871.319160002458,73741.16291000003,88382.68287000232,88612.4820700024
01/04/2021,22069.998799999976,12098.998799999932,8.5,12.5,Exposure Fee,-,-4.76,26970.31796000239,73736.40291000003,88607.7220700024,100706.72087000233
02/04/2021,260.0016000000038,260.0016000000038,0.0,0.0,-,-,0.0,27230.319560002394,73736.40291000003,100706.72087000233,100966.72247000234
05/04/2021,-720.0004185302756,-19737.600443529464,47.6,70.0,-,-,0.0,7492.71911647293,73736.40291000003,100966.72247000234,81229.12202647288
06/04/2021,-900.0003337860107,-7895.270321865537,16.15,24.12,-,-,0.0,-402.5512053926068,73736.40291000003,81229.12202647288,73333.85170460734
07/04/2021,4124.997711181627,3998.272711181627,0.375,1.35,Exposure Fee,-,-9.6,3595.7215057890203,73726.80291000003,73324.25170460733,77322.52441578897
08/04/2021,10825.004577636731,10825.004577636731,0.0,0.0,Exposure Fee,-,-10.5,14420.726083425752,73716.30291000003,77312.02441578895,88137.0289934257
09/04/2021,20787.49567270279,17062.356464252473,11.9,18.24,Exposure Fee,-,-10.15,31483.082547678227,73706.15291000003,88126.8789934257,105189.23545767818
12/04/2021,483.7511658668601,941.5261658668646,4.625,7.6,-,-,0.0,32424.60871354509,73706.15291000003,105189.23545767817,106130.76162354504
13/04/2021,-3469.999134540558,-1161.7991345405578,6.8,10.0,-,-,0.0,31262.809579004534,73706.15291000003,106130.76162354503,104968.96248900448
14/04/2021,-2197.5019812584005,1062.6980187416448,11.05,16.25,-,-,0.0,32325.50759774618,73706.15291000003,104968.96248900447,106031.66050774613
15/04/2021,-22999.999284744263,-23544.469425411593,17.85,26.62,-,-,0.0,8781.038172334585,73706.15291000003,106031.66050774611,82487.19108233454
16/04/2021,6415.001153945923,6761.896153945904,0.6749999999999999,2.43,-,-,0.0,15542.93432628049,73706.15291000003,82487.19108233452,89249.08723628044
19/04/2021,-11688.753452301013,-11688.753452301013,0.0,0.0,-,-,0.0,3854.180873979478,73706.15291000003,89249.08723628042,77560.33378397943
20/04/2021,-15744.996004104623,-16738.765720386516,3.4,5.37,-,-,0.0,-12884.584846407039,73706.15291000003,77560.33378397941,60821.56806359291
21/04/2021,14733.747377395632,14733.747377395632,0.0,0.0,-,-,0.0,1849.162530988593,73706.15291000003,60821.568063592895,75555.31544098855
22/04/2021,-15714.99626874921,-15183.99626874921,12.75,18.75,-,-,0.0,-13334.833737760617,73706.15291000003,75555.31544098853,60371.31917223934
23/04/2021,6718.745172023773,9174.845172023774,7.649999999999999,11.25,-,-,0.0,-4159.988565736843,73706.15291000003,60371.319172239324,69546.16434426312
26/04/2021,4160.004744529682,415.04974452968247,10.025,16.18,-,-,0.0,-3744.938821207161,73706.15291000003,69546.1643442631,69961.2140887928
